NL,EN
tom,Tom
geprobeerd,tried
meeste,most
kijkt,looks
stierf,died
hotel,hotel
droom,dream
verliefd,in love
jammer,Unfortunately
gedacht,thought
let,note
rug,back
vertaling,translation
slaan,to beat
gaten,holes
doel,goal
meter,meter
drugs,drug
gevaarlijk,dangerous
geweldige,great
lijst,list
fbi,FBI
namen,take
deden,did
jonge,young
schelen,care
goedemorgen,good morning
dragen,wear
iedere,each
excuseer,excuse
stom,stupid
jong,young
zover,as far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeeds
welk,which
vertelt,tells
prijs,price
voorstellen,introduce
huwelijk,wedding
tv,TV
missen,to miss
schrijven,write
groep,group
herinneren,remember
regels,lines
vonden,found
vliegtuig,plane
onderweg,en route
delen,parts
geleerd,learned
stomme,stupid
bestaat,consists
james,James
vertrouw,trust
daarvoor,therefor
shit,shit
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,touch
direct,straight away
verdomde,damn
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,trip
partner,partner
leuke,nice
raad,council
honger,hungry
geraakt,touched
gebouw,building
zwaar,heavy
gast,guest
gestuurd,steered
geboren,born
bracht,brought
rechter,judge
agenten,agents
bureau,desk
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,row
oma,Grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,second
liep,walked
tuurlijk,of course
red,red
gefeliciteerd,congratulations
koud,cold
regelen,to arrange
henry,Henry
bericht,message
vlucht,flight
moeite,trouble
hel,hell
dame,Lady
oog,eye
ma,ma
dansen,dancing
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,just kidding
arm,arm
show,show
lachen,laugh
leggen,lay
sleutel,key
wet,law
liefje,sweetheart
keek,watched
paul,Paul
alex,Alex
aantal,number of
zoekt,searches
extra,additional
zweer,swear
leiden,lead
harry,Harry
mary,Mary
lijk,dead body
kapot,Broken
bleef,Remained
sneller,faster
gebroken,broken
uiteindelijk,in the end
verdwenen,gone
kaart,Map
kerk,church
mijne,mine
dode,dead
brand,fire
i,I
max,max
betrokken,concerned
wegwezen,get out
plannen,plan
volg,follow
lastig,tricky
tijdje,while
negen,nine
gebied,area
beiden,both
eind,end
operatie,operation
diep,deep
persoonlijk,in person
liegen,to lie
zwanger,pregnant
club,club
respect,respect
steek,lurch
waarvoor,for which
missie,mission
cool,cool
danny,Danny
amerika,America
zon,Sun
kost,cost
paard,horse
waarop,on which
maat,mate
brief,letter
raak,striking
rijk,rich
rij,queue
risico,risk
meestal,mostly
witte,white
getuige,witness
kwalijk,bad
rechercheur,detective
schoenen,shoes
bar,bar
hoeven,hooves
midden,middle
hopelijk,hopefully
lijn,line
eer,honour
gezet,set
zuster,sister
bal,ball
a,a
sprak,spoke
aanval,attack
aandacht,attention
kiezen,select
komaan,come on
rode,red
meiden,fellow girls
amerikaanse,American
adres,address
zee,sea
hoog,high
feestje,party
gekocht,purchased
bevel,order
wedstrijd,contest
sluiten,Close
daarvan,of them
jimmy,Jimmy
volledig,fully
rot,rotten
les,grade
ziel,soul
interessant,interesting
slag,battle
sluit,closing
zelfmoord,suicide
computer,computer
planeet,planet
bereiken,to achieve
verdachte,suspect
sarah,Sarah
gelezen,read
uitleggen,to explain
beloofd,promised
laatst,last
winkel,store
zul,such
wagen,car
angst,fear
muur,wall
leeg,empty
bezoek,visit
stelen,to steal
gewonnen,won
positie,position
wisten,knew
sheriff,sheriff
bekijken,see
helft,half
r,r
warm,warmly
keus,choice
vanmorgen,this morning
park,park
zulke,such
nick,Nick
heerlijk,lovely
gevallen,cases
zaten,sat
rennen,run
gewond,injured
sergeant,sergeant
volk,people
dieren,animal
kort,short
spreekt,speaks
ah,Ah
allen,all
tony,Tony
verdient,earnings
onderzoeken,to investigate
haast,rush
dromen,to dream
systeem,system
meester,master
kont,ass
enig,any
ontdekt,discovers
verkocht,sold
tante,aunt
bewegen,to move
geschreven,written
groter,taller
neus,nose
ach,oh
verklaring,declaration
broek,pants
verdienen,to deserve
speel,play
hangt,hangs
vijand,enemy
gelukt,success
verschillende,various
speciale,special one
verrassing,surprise
vreemde,stranger
sla,salad
geschiedenis,history
erachter,behind
lul,dick
bezorgd,Worried
hoogte,height
vrede,peace
meegenomen,brought
zagen,saws
liegt,lies
bus,bus
belachelijk,ridiculous
betere,better
raam,windown
wijn,wine
mes,knife
ontslagen,laid off
geheime,secret
gehouden,kept
weggaan,go away
weekend,weekend
eh,eh
excuses,apologies
getuigen,to give evidence
jim,Jim
bom,bomb
inspecteur,inspector
gehaald,achieved
spoor,track
held,hero
benen,legs
dachten,thought
waarvan,from what
tas,bag
thee,tea
ray,ray
jane,Jane
overleven,to survive
belt,call
meenemen,take
nek,neck
gevecht,battle
bestaan,to exist
ongelooflijk,incredible
slachtoffers,victims
drink,drink
ring,ring
donker,dark
links,left
dichtbij,close to
bereid,prepared
feit,fact
vriendje,boyfriend
professor,professor
verschil,difference
collega,colleague
spul,stuff
boeken,books
slaat,hit
will,will
alweer,again
rekening,account
gooi,throw
beslissing,decision
verlies,loss
been,leg
verjaardag,birthday
lift,elevator
tommy,Tommy
bob,Bob
koningin,queen
teveel,too much
levend,living
waarmee,by which
raakt,hits
draagt,wears
verandert,changes
trein,train
da,da
monster,sample
raakte,gag
sporen,tracks
opa,grandpa
zingen,to sing
voeten,feet
lot,lot
richting,direction
knap,good looking
duren,last
speciaal,special
gebruikte,used
gestopt,stopped
hoge,high
gesloten,Closed
boord,board
bedoelde,meant
gepakt,packed
you,You
draai,play
vannacht,tonight
ijs,ice
enorme,huge
reed,drove
beurt,turn
koop,purchase
appartement,apartment
cel,cell
d,D
begraven,to bury
indruk,impression
vlees,meat
strijd,conflict
ochtend,morning
keuken,kitchen
energie,energy
vernietigen,destroy
geregeld,regularly
plaatsen,places
gevoelens,feelings
last,burden
la,la
bedanken,to thank
ophouden,to hold up
hangen,to hang
kennis,knowledge
bill,Bill
patiënt,patient
zware,heavy
basis,base
kat,cat
glas,glass
sloeg,Slag
dankzij,thanks to
dader,perpetrator
gasten,guests
zwart,black
betaal,pay
adem,breath
richard,Richard
boodschap,errand
grap,joke
bos,bunch
geholpen,assisted
godsnaam,God sake
prachtige,gorgeous
neergeschoten,shot
werkelijk,actually
gestorven,died
huilen,to cry
commandant,commander
billy,Billy
soldaten,soldiers
jake,jake
jurk,dress
gevangen,caught
veiligheid,safety
hoek,corner
hiermee,with this
afstand,distance
kilometer,kilometer
regering,government
stoel,chair
onschuldig,innocent
kogel,ball
londen,London
vlak,right
stuurde,steered
fijne,nice
waarin,in which
voet,foot
haalt,fetches
ontsnappen,escape
gooien,throw
rechts,right
ineens,suddenly
ouwe,old
test,test
toestemming,permission
wraak,revenge
breken,break
rol,role
opschieten,Hurry up
kalm,calm
goud,gold
verantwoordelijk,responsible
enorm,enormous
bespreken,discuss
noemt,mentions
verdorie,damn
ervaring,experience
soldaat,soldier
gepraat,talking
steve,Steve
mark,Mark
totaal,total
and,and
gratis,free
overleden,passed away
moorden,kill
eiland,Island
beeld,image
passen,fit
leeftijd,age
noemde,mentioned
tekenen,draw
doorgaan,Get on
boom,tree
uitzoeken,investigate
dak,roof
besloten,decided
lunch,lunch
ryan,Ryan
vele,many
schoon,beautiful
controleren,to check
gearresteerd,arrested
schoot,shot
eraf,off
achteruit,backwards
johnny,Johnny
belangrijke,important
lees,read
perfecte,perfect
dorp,village
eikel,jerk
bobby,Bobby
dossier,file
past,suits
code,code
vieren,to celebrate
geluid,sound
homo,homo
verschrikkelijk,terrible
stelt,stilt
slaapt,sleeps
bier,beer
dna,DNA
hoelang,how long
eenmaal,once
simpel,easy
zocht,sought
blauwe,blue
stukje,piece
vermist,missing
zorgt,worries
gat,hole
ouder,older
kate,Kate
schrijf,writing
schreef,wrote
wens,wish
geslagen,beaten
parijs,Paris
toevallig,chance
leiding,pipe
edelachtbare,prevailable
bouwen,to build
geweten,known
heilige,holy
restaurant,restaurant
sterft,dies
toegang,access
verbergen,hide
draait,turns
leidt,leading
armen,poor
luke,Luke
taak,task
ware,true
lab,lab
misdaad,crime
nadenken,think it over
vakantie,holidays
behoorlijk,fairly
sleutels,Keys
video,video
levens,lifetime
geniet,enjoy
draaien,to turn
vertrek,departure
betreft,Re
eric,Eric
slot,key lock
ms,ms
verpest,ruined
proces,process
opdracht,assignment
programma,program
klote,lick
leider,leader
actie,action
waardoor,as a result of which
antwoorden,answer
gezeten,sitting
bruiloft,wedding
vorm,form
woon,living
directeur,director
cliënt,client
goedenavond,good evening
advies,advice
hoewel,although
eddie,Eddie
chris,Chris
uren,hours
welterusten,good night
tijden,times
volwassen,grown up
vuile,dirty
majoor,major
radio,radio
aangenaam,nice to meet you
drankje,drink
maan,Moon
kregen,got
gemakkelijk,easy
vergeef,forgery
klas,class
krant,newspaper
langzaam,slowly
kosten,cost
martin,Martin
procent,per cent
mist,fog
pad,path
vrijheid,freedom
verdwijnen,to disappear
gelogen,lied
beweging,movement
twijfel,doubt
neef,cousin
gemeen,mean
fles,bottle
dol,foolish
draag,carry
vis,fish
waarover,about what
rood,red
hersenen,brain
der,of
verloor,lost
taxi,cab
voorkomen,prevent
medicijnen,medicines
okay,Okay
binnenkort,soon
doos,box
terecht,justly
mening,opinion
geweer,gun
bezit,possess
top,top
wonder,wonder
vergeven,to forgive
stopt,stops
hopen,to hope
thomas,Thomas
ophalen,to pick up
wind,wind
oplossen,to resolve
jaloers,jealous
kevin,Kevin
rachel,rachel
onmiddellijk,immediately
gedrag,behaviour
charles,Charles
stemmen,to vote
ontbijt,breakfast
lol,LOL
walter,Walter
honden,dog
ontvangen,receive
verhalen,stories
rivier,river
twaalf,twelve
voedsel,food
gauw,quickly
volgt,follow
vaker,more often
adam,Adam
keren,turn
klanten,customers
chef,chef
wint,win
brian,Brian
minuut,minute
anna,Anna
detective,detective
verraden,betray
don,Don
geweld,violence
akkoord,agreement
tonen,to show
genoemd,called
gewone,ordinary
papieren,paper
verband,bandage
hoopte,hoped
rare,strange
brug,bridge
jas,jacket
bloemen,flowers
daniel,Daniel
trap,staircase
mijnheer,Sir
aanvallen,to attack
leer,doctrine
street,street
opnemen,to withdraw
robert,Robert
schade,injury
blijkt,turns out
bijzonder,special
huid,skin
krachten,forces
zakken,to fail
openen,to open
arts,doctor
hoer,whore
gestoord,disturbed
scott,scot
gegeten,ate
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,fidelity
bedenken,think about
ergste,worst
bedacht,suspicious
tegenhouden,to prevent
vermoordde,killed
nachts,night
vertrokken,left
knul,kid
engels,English
start,Start
favoriete,favourite
persoonlijke,personal
bepaalde,particular
sommigen,some
yeah,yeah
momentje,just hold on
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,To kiss
date,date
ster,star
gezocht,sought
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listen
gegevens,data
claire,claire
beveiliging,security
nagedacht,thought
lisa,Lisa
gekozen,chosen
betaalt,pays
betekenen,mean
verborgen,hidden
publiek,public
carrière,career
tanden,teeth
amy,Amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed to meet
halve,half
rijdt,drives
belangrijkste,main
kamp,camp
leef,living
washington,Washington
steun,support
afdeling,department
honderd,hundred
vorig,last
rook,smoke
boel,lot
vecht,Vecht
strand,beach
jason,Jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,called
terugkomen,coming back
voeren,feed
waardeer,appreciate
nauwelijks,barely
bad,bath
bieden,offer
geïnteresseerd,interested
verlaat,leaves
duivel,devil
overkomen,come across
speelde,played
pond,lb
ballen,ball
duizenden,thousands
gedoe,soil
city,City
nerveus,nervous
locatie,Location
blik,look
doelwit,target
gekke,silly
meegemaakt,experienced
twintig,twenty
emily,Emily
klant,customer
kerels,guy
loog,lye
post,post
aangevallen,attacked
oren,ear
emma,Emma
springen,to jump
gevolgd,followed
releases,releases
lach,smile
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
kyle,kyle
trekt,pulls
toilet,toilet
steen,stone
logisch,logically
landen,Nations
geloofde,believed
fouten,faults
verwachten,to expect
leo,leo
dankbaar,satisfying
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
andy,Andy
jury,jury
verslaan,defeat
vangen,to catch
christus,Christ
maria,Mary
testen,to test
grens,border
paniek,panic
nogmaals,once again
telefoontje,phone
steken,stiches
jesse,Jesse
pete,pete
ontsnapt,Escaped
herinnert,remember
paarden,horses
vaders,fathers
theorie,theory
kleur,color
prins,Prince
vissen,fishing
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,remained
meerdere,multiple
ondanks,despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,to step
carter,carter
eeuwig,eternal
vreselijke,terrible
km,km
matt,matt
doodde,kill
dik,fat
verkoop,sale
rechtbank,court of law
harde,tough
genezen,cured
begrafenis,funeral
veld,field
straf,punishment
uitgenodigd,invited
laag,low
grace,Grace
kies,molar
wiens,whose
william,William
schattig,cute
dr.,Dr.
schot,shot
vijanden,enemies
neuken,fuck
broers,brothers
jagen,to hunt
tevreden,satisfied
gaven,give
taart,pie
domme,stupid
flat,flat
manieren,manners
afmaken,finish up
vriendelijk,friendly
san,san
sterker,stronger
vluchten,to flee
pers,press
project,project
st,stem
vertrekt,leaves
belang,interest
frankrijk,France
lukken,work
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to put on
arthur,Arthur
annie,Annie
makkelijker,easier
gedragen,to behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,to arrest
tuin,garden
ideeën,ideas
korte,short
gelaten,resistant
sean,Sean
duitse,German
vrijdag,Friday
opstaan,rise
kunst,art
sterke,strong
afscheid,goodbye
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,company
bijvoorbeeld,for example
achtergelaten,abandoned
duur,expensive
compleet,completely
to,to
eng,scary
toeval,chance
snapt,gets
hiervan,thus
miljoenen,millions
simon,Simon
jerry,Jerry
war,war
melk,milk
kelly,Kelly
lui,lazy
genieten,to enjoy
aannemen,take
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,steering
volle,full
schijnt,appears
lenen,to lend
moed,courage
alice,Alice
vergissing,mistake
patiënten,patient
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,films
reizen,to travel
ruim,roomy
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,to smoke
truck,truck
gaaf,great
tegenwoordig,nowadays
kwestie,matter
zette,set
opzij,sidewalk
gaande,going on
omgeving,environment
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,considerable
majesteit,majesty
cia,C.I.A
carl,Carl
sukkel,softy
stopte,stopped
haalde,gathered
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,Alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,Taylor
bedoeld,meant
opgesloten,locked up
ontslag,dismissal
bekijk,look at
borst,chest
schreeuwen,shout
bevalt,pleases
hoger,higher
blanke,White person
redenen,reasons
harder,harder
ed,Ed
ontvoerd,abducted
vasthouden,to hold
dave,Dave
lucy,Lucy
behandelen,to treat
berg,mountain
noorden,north
opgeven,to report
bepaald,certain
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,dissolved
heus,real
koken,Cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,to guess
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reaches
amerikanen,Americans
kanker,cancer
ted,ted
aangezien,as
beslissen,decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
